"id","cnty_name","state_cd","cnty_cd","chronic_disease","avg_cost","population","cnty_pop","percent_pop","us_avg","cost_variance","std_dev","dif_from_dev","cost_flag"
"1001","AUTAUGA, AL","01","000","Depression","(null)","4","18","22.22","1807.25","9038009.13","3006.33","0","(null)"
"1003","BALDWIN, AL","01","010","Depression","(null)","16","88","18.18","1807.25","9038009.13","3006.33","0","(null)"
"1005","BARBOUR, AL","01","020","Depression","(null)","4","16","25","1807.25","9038009.13","3006.33","0","(null)"
"1007","BIBB, AL","01","030","Depression","(null)","3","17","17.65","1807.25","9038009.13","3006.33","0","(null)"
"1009","BLOUNT, AL","01","040","Depression","(null)","2","16","12.5","1807.25","9038009.13","3006.33","0","(null)"
"1013","BUTLER, AL","01","060","Depression","(null)","2","9","22.22","1807.25","9038009.13","3006.33","0","(null)"
"1015","CALHOUN, AL","01","070","Depression","805","20","66","30.3","1807.25","9038009.13","3006.33","0","(null)"
"1017","CHAMBERS, AL","01","080","Depression","(null)","7","27","25.93","1807.25","9038009.13","3006.33","0","(null)"
"1019","CHEROKEE, AL","01","090","Depression","(null)","2","15","13.33","1807.25","9038009.13","3006.33","0","(null)"
"1021","CHILTON, AL","01","100","Depression","(null)","4","23","17.39","1807.25","9038009.13","3006.33","0","(null)"
"1023","CHOCTAW, AL","01","110","Depression","(null)","1","11","9.09","1807.25","9038009.13","3006.33","0","(null)"
"1025","CLARKE, AL","01","120","Depression","(null)","7","18","38.89","1807.25","9038009.13","3006.33","0","(null)"
"1027","CLAY, AL","01","130","Depression","(null)","2","9","22.22","1807.25","9038009.13","3006.33","0","(null)"
"1029","CLEBURNE, AL","01","140","Depression","(null)","3","8","37.5","1807.25","9038009.13","3006.33","0","(null)"
"1031","COFFEE, AL","01","150","Depression","(null)","2","22","9.09","1807.25","9038009.13","3006.33","0","(null)"
"1033","COLBERT, AL","01","160","Depression","900","8","32","25","1807.25","9038009.13","3006.33","0","(null)"
"1035","CONECUH, AL","01","170","Depression","(null)","2","6","33.33","1807.25","9038009.13","3006.33","0","(null)"
"1037","COOSA, AL","01","180","Depression","(null)","1","6","16.67","1807.25","9038009.13","3006.33","0","(null)"
"1039","COVINGTON, AL","01","190","Depression","(null)","5","31","16.13","1807.25","9038009.13","3006.33","0","(null)"
"1041","CRENSHAW, AL","01","200","Depression","(null)","1","10","10","1807.25","9038009.13","3006.33","0","(null)"
"1043","CULLMAN, AL","01","210","Depression","(null)","13","52","25","1807.25","9038009.13","3006.33","0","(null)"
"1045","DALE, AL","01","220","Depression","2000","12","42","28.57","1807.25","9038009.13","3006.33","0","(null)"
"1047","DALLAS, AL","01","230","Depression","2020","11","41","26.83","1807.25","9038009.13","3006.33","0","(null)"
"1049","DE KALB, AL","01","240","Depression","(null)","14","44","31.82","1807.25","9038009.13","3006.33","0","(null)"
"1051","ELMORE, AL","01","250","Depression","(null)","10","39","25.64","1807.25","9038009.13","3006.33","0","(null)"
"1053","ESCAMBIA, AL","01","260","Depression","380","2","21","9.52","1807.25","9038009.13","3006.33","0","(null)"
"1055","ETOWAH, AL","01","270","Depression","(null)","23","72","31.94","1807.25","9038009.13","3006.33","0","(null)"
"1057","FAYETTE, AL","01","280","Depression","1610","3","9","33.33","1807.25","9038009.13","3006.33","0","(null)"
"1059","FRANKLIN, AL","01","290","Depression","(null)","5","20","25","1807.25","9038009.13","3006.33","0","(null)"
"1061","GENEVA, AL","01","300","Depression","(null)","4","18","22.22","1807.25","9038009.13","3006.33","0","(null)"
"1065","HALE, AL","01","320","Depression","(null)","1","14","7.14","1807.25","9038009.13","3006.33","0","(null)"
"1067","HENRY, AL","01","330","Depression","(null)","1","7","14.29","1807.25","9038009.13","3006.33","0","(null)"
"1069","HOUSTON, AL","01","340","Depression","(null)","5","40","12.5","1807.25","9038009.13","3006.33","0","(null)"
"1071","JACKSON, AL","01","350","Depression","(null)","3","34","8.82","1807.25","9038009.13","3006.33","0","(null)"
"1073","JEFFERSON, AL","01","360","Depression","680","79","385","20.52","1807.25","9038009.13","3006.33","0","(null)"
"1075","LAMAR, AL","01","370","Depression","(null)","1","9","11.11","1807.25","9038009.13","3006.33","0","(null)"
"1077","LAUDERDALE, AL","01","380","Depression","(null)","11","55","20","1807.25","9038009.13","3006.33","0","(null)"
"1079","LAWRENCE, AL","01","390","Depression","540","3","8","37.5","1807.25","9038009.13","3006.33","0","(null)"
"1081","LEE, AL","01","400","Depression","1460","11","43","25.58","1807.25","9038009.13","3006.33","0","(null)"
"1083","LIMESTONE, AL","01","410","Depression","(null)","8","29","27.59","1807.25","9038009.13","3006.33","0","(null)"
"1085","LOWNDES, AL","01","420","Depression","(null)","2","7","28.57","1807.25","9038009.13","3006.33","0","(null)"
"1087","MACON, AL","01","430","Depression","(null)","4","13","30.77","1807.25","9038009.13","3006.33","0","(null)"
"1089","MADISON, AL","01","440","Depression","(null)","34","168","20.24","1807.25","9038009.13","3006.33","0","(null)"
"1091","MARENGO, AL","01","450","Depression","170","9","12","75","1807.25","9038009.13","3006.33","0","(null)"
"1093","MARION, AL","01","460","Depression","(null)","1","15","6.67","1807.25","9038009.13","3006.33","0","(null)"
"1095","MARSHALL, AL","01","470","Depression","(null)","23","67","34.33","1807.25","9038009.13","3006.33","0","(null)"
"1097","MOBILE, AL","01","480","Depression","1793.6","54","202","26.73","1807.25","9038009.13","3006.33","0","(null)"
"1099","MONROE, AL","01","490","Depression","(null)","2","5","40","1807.25","9038009.13","3006.33","0","(null)"
"1101","MONTGOMERY, AL","01","500","Depression","(null)","24","90","26.67","1807.25","9038009.13","3006.33","0","(null)"
"1103","MORGAN, AL","01","510","Depression","(null)","11","60","18.33","1807.25","9038009.13","3006.33","0","(null)"
"1105","PERRY, AL","01","520","Depression","(null)","1","4","25","1807.25","9038009.13","3006.33","0","(null)"
"1107","PICKENS, AL","01","530","Depression","(null)","4","27","14.81","1807.25","9038009.13","3006.33","0","(null)"
"1109","PIKE, AL","01","540","Depression","(null)","6","16","37.5","1807.25","9038009.13","3006.33","0","(null)"
"1111","RANDOLPH, AL","01","550","Depression","(null)","4","16","25","1807.25","9038009.13","3006.33","0","(null)"
"1113","RUSSELL, AL","01","560","Depression","(null)","12","28","42.86","1807.25","9038009.13","3006.33","0","(null)"
"1115","ST. CLAIR, AL","01","570","Depression","610","7","31","22.58","1807.25","9038009.13","3006.33","0","(null)"
"1117","SHELBY, AL","01","580","Depression","2040","13","55","23.64","1807.25","9038009.13","3006.33","0","(null)"
"1119","SUMTER, AL","01","590","Depression","(null)","2","7","28.57","1807.25","9038009.13","3006.33","0","(null)"
"1121","TALLADEGA, AL","01","600","Depression","1490","10","52","19.23","1807.25","9038009.13","3006.33","0","(null)"
"1123","TALLAPOOSA, AL","01","610","Depression","(null)","4","22","18.18","1807.25","9038009.13","3006.33","0","(null)"
"1125","TUSCALOOSA, AL","01","620","Depression","200","13","71","18.31","1807.25","9038009.13","3006.33","0","(null)"
"1127","WALKER, AL","01","630","Depression","335","13","51","25.49","1807.25","9038009.13","3006.33","0","(null)"
"1129","WASHINGTON, AL","01","640","Depression","(null)","3","12","25","1807.25","9038009.13","3006.33","0","(null)"
