"id","cnty_name","state_cd","cnty_cd","chronic_disease","avg_cost","cty_var","high_cost","low_cost","population","cnty_pop","percent_pop","us_avg","cost_variance","std_dev","dif_from_dev","under_dev"
"1001","AUTAUGA, AL","01","000","Osteoporosis","0","0","0","0","2","18","11.11","1924.97","9486870.49","3080.08","0","0"
"1003","BALDWIN, AL","01","010","Osteoporosis","0","0","0","0","9","88","10.23","1924.97","9486870.49","3080.08","0","0"
"1005","BARBOUR, AL","01","020","Osteoporosis","0","0","0","0","2","16","12.5","1924.97","9486870.49","3080.08","0","0"
"1007","BIBB, AL","01","030","Osteoporosis","0","0","0","0","5","17","29.41","1924.97","9486870.49","3080.08","0","0"
"1009","BLOUNT, AL","01","040","Osteoporosis","0","0","0","0","3","16","18.75","1924.97","9486870.49","3080.08","0","0"
"1011","BULLOCK, AL","(null)","(null)","(null)","0","0","0","0","0","4","0","(null)","(null)","(null)","0","0"
"1013","BUTLER, AL","01","060","Osteoporosis","0","0","0","0","3","9","33.33","1924.97","9486870.49","3080.08","0","0"
"1015","CALHOUN, AL","01","070","Osteoporosis","0","0","0","0","6","66","9.09","1924.97","9486870.49","3080.08","0","0"
"1017","CHAMBERS, AL","01","080","Osteoporosis","0","0","0","0","4","27","14.81","1924.97","9486870.49","3080.08","0","0"
"1019","CHEROKEE, AL","01","090","Osteoporosis","0","0","0","0","1","15","6.67","1924.97","9486870.49","3080.08","0","0"
"1021","CHILTON, AL","01","100","Osteoporosis","0","0","0","0","4","23","17.39","1924.97","9486870.49","3080.08","0","0"
"1023","CHOCTAW, AL","01","110","Osteoporosis","0","0","0","0","2","11","18.18","1924.97","9486870.49","3080.08","0","0"
"1025","CLARKE, AL","01","120","Osteoporosis","0","0","0","0","4","18","22.22","1924.97","9486870.49","3080.08","0","0"
"1027","CLAY, AL","01","130","Osteoporosis","0","0","0","0","4","9","44.44","1924.97","9486870.49","3080.08","0","0"
"1029","CLEBURNE, AL","01","140","Osteoporosis","90","0","90","90","2","8","25","1924.97","9486870.49","3080.08","0","0"
"1031","COFFEE, AL","01","150","Osteoporosis","0","0","0","0","4","22","18.18","1924.97","9486870.49","3080.08","0","0"
"1033","COLBERT, AL","01","160","Osteoporosis","2660","0","2660","2660","6","32","18.75","1924.97","9486870.49","3080.08","0","0"
"1035","CONECUH, AL","01","170","Osteoporosis","0","0","0","0","1","6","16.67","1924.97","9486870.49","3080.08","0","0"
"1037","COOSA, AL","01","180","Osteoporosis","0","0","0","0","2","6","33.33","1924.97","9486870.49","3080.08","0","0"
"1039","COVINGTON, AL","01","190","Osteoporosis","0","0","0","0","4","31","12.9","1924.97","9486870.49","3080.08","0","0"
"1041","CRENSHAW, AL","(null)","(null)","(null)","0","0","0","0","0","10","0","(null)","(null)","(null)","0","0"
"1043","CULLMAN, AL","01","210","Osteoporosis","0","0","0","0","9","52","17.31","1924.97","9486870.49","3080.08","0","0"
"1045","DALE, AL","01","220","Osteoporosis","15908","0","15908","15908","5","42","11.9","1924.97","9486870.49","3080.08","10902.95","0"
"1047","DALLAS, AL","01","230","Osteoporosis","0","0","0","0","7","41","17.07","1924.97","9486870.49","3080.08","0","0"
"1049","DE KALB, AL","01","240","Osteoporosis","1190","2121800","2220","160","8","44","18.18","1924.97","9486870.49","3080.08","0","0"
"1051","ELMORE, AL","01","250","Osteoporosis","0","0","0","0","4","39","10.26","1924.97","9486870.49","3080.08","0","0"
"1053","ESCAMBIA, AL","01","260","Osteoporosis","0","0","0","0","2","21","9.52","1924.97","9486870.49","3080.08","0","0"
"1055","ETOWAH, AL","01","270","Osteoporosis","0","0","0","0","13","72","18.06","1924.97","9486870.49","3080.08","0","0"
"1057","FAYETTE, AL","01","280","Osteoporosis","0","0","0","0","1","9","11.11","1924.97","9486870.49","3080.08","0","0"
"1059","FRANKLIN, AL","01","290","Osteoporosis","0","0","0","0","5","20","25","1924.97","9486870.49","3080.08","0","0"
"1061","GENEVA, AL","01","300","Osteoporosis","0","0","0","0","1","18","5.56","1924.97","9486870.49","3080.08","0","0"
"1063","GREENE, AL","01","310","Osteoporosis","0","0","0","0","1","5","20","1924.97","9486870.49","3080.08","0","0"
"1065","HALE, AL","01","320","Osteoporosis","740","0","740","740","1","14","7.14","1924.97","9486870.49","3080.08","0","0"
"1067","HENRY, AL","(null)","(null)","(null)","0","0","0","0","0","7","0","(null)","(null)","(null)","0","0"
"1069","HOUSTON, AL","01","340","Osteoporosis","0","0","0","0","4","40","10","1924.97","9486870.49","3080.08","0","0"
"1071","JACKSON, AL","01","350","Osteoporosis","0","0","0","0","2","34","5.88","1924.97","9486870.49","3080.08","0","0"
"1073","JEFFERSON, AL","01","360","Osteoporosis","3810","258700","4390","3440","55","385","14.29","1924.97","9486870.49","3080.08","0","0"
"1075","LAMAR, AL","01","370","Osteoporosis","0","0","0","0","1","9","11.11","1924.97","9486870.49","3080.08","0","0"
"1077","LAUDERDALE, AL","01","380","Osteoporosis","0","0","0","0","11","55","20","1924.97","9486870.49","3080.08","0","0"
"1079","LAWRENCE, AL","(null)","(null)","(null)","0","0","0","0","0","8","0","(null)","(null)","(null)","0","0"
"1081","LEE, AL","01","400","Osteoporosis","800","0","800","800","10","43","23.26","1924.97","9486870.49","3080.08","0","0"
"1083","LIMESTONE, AL","01","410","Osteoporosis","1975","7801250","3950","0","7","29","24.14","1924.97","9486870.49","3080.08","0","0"
"1085","LOWNDES, AL","(null)","(null)","(null)","0","0","0","0","0","7","0","(null)","(null)","(null)","0","0"
"1087","MACON, AL","01","430","Osteoporosis","0","0","0","0","3","13","23.08","1924.97","9486870.49","3080.08","0","0"
"1089","MADISON, AL","01","440","Osteoporosis","1206.67","643433.33","1940","350","31","168","18.45","1924.97","9486870.49","3080.08","0","0"
"1091","MARENGO, AL","01","450","Osteoporosis","0","0","0","0","2","12","16.67","1924.97","9486870.49","3080.08","0","0"
"1093","MARION, AL","01","460","Osteoporosis","0","0","0","0","1","15","6.67","1924.97","9486870.49","3080.08","0","0"
"1095","MARSHALL, AL","01","470","Osteoporosis","2150","0","2150","2150","17","67","25.37","1924.97","9486870.49","3080.08","0","0"
"1097","MOBILE, AL","01","480","Osteoporosis","1630","51200","1790","1470","40","202","19.8","1924.97","9486870.49","3080.08","0","0"
"1099","MONROE, AL","01","490","Osteoporosis","0","0","0","0","4","5","80","1924.97","9486870.49","3080.08","0","0"
"1101","MONTGOMERY, AL","01","500","Osteoporosis","2890","0","2890","2890","19","90","21.11","1924.97","9486870.49","3080.08","0","0"
"1103","MORGAN, AL","01","510","Osteoporosis","0","0","0","0","12","60","20","1924.97","9486870.49","3080.08","0","0"
"1105","PERRY, AL","01","520","Osteoporosis","0","0","0","0","2","4","50","1924.97","9486870.49","3080.08","0","0"
"1107","PICKENS, AL","01","530","Osteoporosis","1790","0","1790","1790","2","27","7.41","1924.97","9486870.49","3080.08","0","0"
"1109","PIKE, AL","01","540","Osteoporosis","1910","0","1910","1910","3","16","18.75","1924.97","9486870.49","3080.08","0","0"
"1111","RANDOLPH, AL","01","550","Osteoporosis","0","0","0","0","4","16","25","1924.97","9486870.49","3080.08","0","0"
