"fips_cnty_cd","cnty_name","state_cd","cnty_cd","chronic_disease","avg_cost","population","cnty_pop","percent_pop","us_avg","cost_variance","std_dev","dif_from_dev","cost_flag"
"01069","HOUSTON, AL","01","340","RA/OA","310","4","40","10","2939.36","14412297.73","3796.35","0","(null)"
"01073","JEFFERSON, AL","01","360","RA/OA","1370","55","385","14.29","2939.36","14412297.73","3796.35","0","(null)"
"01077","LAUDERDALE, AL","01","380","RA/OA","1610","10","55","18.18","2939.36","14412297.73","3796.35","0","(null)"
"01089","MADISON, AL","01","440","RA/OA","780","21","168","12.5","2939.36","14412297.73","3796.35","0","(null)"
"01093","MARION, AL","01","460","RA/OA","2670","5","15","33.33","2939.36","14412297.73","3796.35","0","(null)"
"01097","MOBILE, AL","01","480","RA/OA","4705","39","202","19.31","2939.36","14412297.73","3796.35","0","(null)"
"01117","SHELBY, AL","01","580","RA/OA","8920","4","55","7.27","2939.36","14412297.73","3796.35","2184.29","high"
"01133","WINSTON, AL","01","660","RA/OA","300","7","21","33.33","2939.36","14412297.73","3796.35","0","(null)"
"04007","GILA, AZ","03","030","RA/OA","4900","6","35","17.14","2939.36","14412297.73","3796.35","0","(null)"
"04013","MARICOPA, AZ","03","060","RA/OA","4869.33","181","1222","14.81","2939.36","14412297.73","3796.35","0","(null)"
"04019","PIMA, AZ","03","090","RA/OA","5030","51","396","12.88","2939.36","14412297.73","3796.35","0","(null)"
"04027","YUMA, AZ","03","130","RA/OA","3570","10","65","15.38","2939.36","14412297.73","3796.35","0","(null)"
"05023","CLEBURNE, AR","04","110","RA/OA","4320","2","23","8.7","2939.36","14412297.73","3796.35","0","(null)"
"05051","GARLAND, AR","04","250","RA/OA","750","19","106","17.92","2939.36","14412297.73","3796.35","0","(null)"
"05069","JEFFERSON, AR","04","340","RA/OA","130","11","59","18.64","2939.36","14412297.73","3796.35","0","(null)"
"05075","LAWRENCE, AR","04","370","RA/OA","4290","8","25","32","2939.36","14412297.73","3796.35","0","(null)"
"05085","LONOKE, AR","04","420","RA/OA","6370","4","27","14.81","2939.36","14412297.73","3796.35","0","(null)"
"05119","PULASKI, AR","04","590","RA/OA","2820","35","234","14.96","2939.36","14412297.73","3796.35","0","(null)"
"05143","WASHINGTON, AR","04","710","RA/OA","2300","10","71","14.08","2939.36","14412297.73","3796.35","0","(null)"
"05145","WHITE, AR","04","720","RA/OA","1390","14","75","18.67","2939.36","14412297.73","3796.35","0","(null)"
"06001","ALAMEDA, CA","05","000","RA/OA","1483.33","68","389","17.48","2939.36","14412297.73","3796.35","0","(null)"
"06005","AMADOR, CA","05","020","RA/OA","200","6","26","23.08","2939.36","14412297.73","3796.35","0","(null)"
"06007","BUTTE, CA","05","030","RA/OA","590","23","92","25","2939.36","14412297.73","3796.35","0","(null)"
"06013","CONTRA COSTA, CA","05","060","RA/OA","6000","59","291","20.27","2939.36","14412297.73","3796.35","0","(null)"
"06019","FRESNO, CA","05","090","RA/OA","660","37","224","16.52","2939.36","14412297.73","3796.35","0","(null)"
"06029","KERN, CA","05","140","RA/OA","3310","27","201","13.43","2939.36","14412297.73","3796.35","0","(null)"
"06037","LOS ANGELES, CA","05","200","RA/OA","2871.33","379","2346","16.16","2939.36","14412297.73","3796.35","0","(null)"
"06037","LOS ANGELES, CA","05","200","RA/OA","2871.33","379","2346","16.16","2939.36","14412297.73","3796.35","0","(null)"
"06041","MARIN, CA","05","310","RA/OA","1400","19","89","21.35","2939.36","14412297.73","3796.35","0","(null)"
"06043","MARIPOSA, CA","05","320","RA/OA","4690","1","6","16.67","2939.36","14412297.73","3796.35","0","(null)"
"06047","MERCED, CA","05","340","RA/OA","450","11","60","18.33","2939.36","14412297.73","3796.35","0","(null)"
"06059","ORANGE, CA","05","400","RA/OA","1270","110","720","15.28","2939.36","14412297.73","3796.35","0","(null)"
"06065","RIVERSIDE, CA","05","430","RA/OA","3170","101","553","18.26","2939.36","14412297.73","3796.35","0","(null)"
"06067","SACRAMENTO, CA","05","440","RA/OA","1770","63","396","15.91","2939.36","14412297.73","3796.35","0","(null)"
"06071","SAN BERNARDINO, CA","05","460","RA/OA","4460","63","423","14.89","2939.36","14412297.73","3796.35","0","(null)"
"06073","SAN DIEGO, CA","05","470","RA/OA","2186","144","857","16.8","2939.36","14412297.73","3796.35","0","(null)"
"06079","SAN LUIS OBISPO, CA","05","500","RA/OA","1570","14","95","14.74","2939.36","14412297.73","3796.35","0","(null)"
"06081","SAN MATEO, CA","05","510","RA/OA","9698","34","213","15.96","2939.36","14412297.73","3796.35","2962.29","high"
"06085","SANTA CLARA, CA","05","530","RA/OA","2276.67","76","464","16.38","2939.36","14412297.73","3796.35","0","(null)"
"06089","SHASTA, CA","05","550","RA/OA","2150","13","89","14.61","2939.36","14412297.73","3796.35","0","(null)"
"06095","SOLANO, CA","05","580","RA/OA","1150","14","95","14.74","2939.36","14412297.73","3796.35","0","(null)"
"06099","STANISLAUS, CA","05","600","RA/OA","4110","25","130","19.23","2939.36","14412297.73","3796.35","0","(null)"
"06101","SUTTER, CA","05","610","RA/OA","1050","5","23","21.74","2939.36","14412297.73","3796.35","0","(null)"
"06111","VENTURA, CA","05","660","RA/OA","1570","41","257","15.95","2939.36","14412297.73","3796.35","0","(null)"
"08005","ARAPAHOE, CO","06","020","RA/OA","760","21","210","10","2939.36","14412297.73","3796.35","0","(null)"
"08031","DENVER, CO","06","150","RA/OA","780","23","224","10.27","2939.36","14412297.73","3796.35","0","(null)"
"08041","EL PASO, CO","06","200","RA/OA","820","31","231","13.42","2939.36","14412297.73","3796.35","0","(null)"
"08059","JEFFERSON, CO","06","290","RA/OA","1660","25","236","10.59","2939.36","14412297.73","3796.35","0","(null)"
"08069","LARIMER, CO","06","340","RA/OA","620","17","133","12.78","2939.36","14412297.73","3796.35","0","(null)"
"08077","MESA, CO","06","380","RA/OA","860","10","81","12.35","2939.36","14412297.73","3796.35","0","(null)"
"08097","PITKIN, CO","06","480","RA/OA","3850","2","3","66.67","2939.36","14412297.73","3796.35","0","(null)"
"08101","PUEBLO, CO","06","500","RA/OA","1660","8","100","8","2939.36","14412297.73","3796.35","0","(null)"
"09003","HARTFORD, CT","07","010","RA/OA","4814.67","82","400","20.5","2939.36","14412297.73","3796.35","0","(null)"
"09009","NEW HAVEN, CT","07","040","RA/OA","1400","60","355","16.9","2939.36","14412297.73","3796.35","0","(null)"
"09011","NEW LONDON, CT","07","050","RA/OA","2345","20","103","19.42","2939.36","14412297.73","3796.35","0","(null)"
"11001","THE DISTRICT, DC","09","000","RA/OA","2790","37","301","12.29","2939.36","14412297.73","3796.35","0","(null)"
"12009","BREVARD, FL","10","040","RA/OA","2073.33","75","323","23.22","2939.36","14412297.73","3796.35","0","(null)"
"12011","BROWARD, FL","10","050","RA/OA","3306.67","102","577","17.68","2939.36","14412297.73","3796.35","0","(null)"
"12021","COLLIER, FL","10","100","RA/OA","500","24","159","15.09","2939.36","14412297.73","3796.35","0","(null)"
"12086","MIAMI-DADE, FL","10","120","RA/OA","1694","194","861","22.53","2939.36","14412297.73","3796.35","0","(null)"
"12053","HERNANDO, FL","10","260","RA/OA","2730","31","124","25","2939.36","14412297.73","3796.35","0","(null)"
"12069","LAKE, FL","10","340","RA/OA","660","50","218","22.94","2939.36","14412297.73","3796.35","0","(null)"
"12071","LEE, FL","10","350","RA/OA","5700","62","280","22.14","2939.36","14412297.73","3796.35","0","(null)"
"12073","LEON, FL","10","360","RA/OA","1860","13","53","24.53","2939.36","14412297.73","3796.35","0","(null)"
"12081","MANATEE, FL","10","400","RA/OA","3010","30","141","21.28","2939.36","14412297.73","3796.35","0","(null)"
"12083","MARION, FL","10","410","RA/OA","1590","41","203","20.2","2939.36","14412297.73","3796.35","0","(null)"
"12091","OKALOOSA, FL","10","450","RA/OA","680","16","72","22.22","2939.36","14412297.73","3796.35","0","(null)"
"12099","PALM BEACH, FL","10","490","RA/OA","2624","144","642","22.43","2939.36","14412297.73","3796.35","0","(null)"
"12101","PASCO, FL","10","500","RA/OA","3520","42","257","16.34","2939.36","14412297.73","3796.35","0","(null)"
"12103","PINELLAS, FL","10","510","RA/OA","1377.5","89","461","19.31","2939.36","14412297.73","3796.35","0","(null)"
"12105","POLK, FL","10","520","RA/OA","800","54","261","20.69","2939.36","14412297.73","3796.35","0","(null)"
"12113","SANTA ROSA, FL","10","560","RA/OA","2390","4","42","9.52","2939.36","14412297.73","3796.35","0","(null)"
"12119","SUMTER, FL","10","590","RA/OA","2330","6","22","27.27","2939.36","14412297.73","3796.35","0","(null)"
"12123","TAYLOR, FL","10","610","RA/OA","3210","2","8","25","2939.36","14412297.73","3796.35","0","(null)"
"12127","VOLUSIA, FL","10","630","RA/OA","570","51","270","18.89","2939.36","14412297.73","3796.35","0","(null)"
"13021","BIBB, GA","11","090","RA/OA","4390","9","70","12.86","2939.36","14412297.73","3796.35","0","(null)"
"13057","CHEROKEE, GA","11","250","RA/OA","310","10","45","22.22","2939.36","14412297.73","3796.35","0","(null)"
"13089","DE KALB, GA","11","370","RA/OA","1930","41","176","23.3","2939.36","14412297.73","3796.35","0","(null)"
"13117","FORSYTH, GA","11","461","RA/OA","1600","6","37","16.22","2939.36","14412297.73","3796.35","0","(null)"
"13129","GORDON, GA","11","500","RA/OA","2850","11","26","42.31","2939.36","14412297.73","3796.35","0","(null)"
"13135","GWINNETT, GA","11","530","RA/OA","22648","14","129","10.85","2939.36","14412297.73","3796.35","15912.29","high"
"13215","MUSCOGEE, GA","11","780","RA/OA","1750","15","83","18.07","2939.36","14412297.73","3796.35","0","(null)"
"13313","WHITFIELD, GA","11","970","RA/OA","1240","9","34","26.47","2939.36","14412297.73","3796.35","0","(null)"
"13321","WORTH, GA","11","980","RA/OA","2680","2","9","22.22","2939.36","14412297.73","3796.35","0","(null)"
"15003","HONOLULU, HI","12","020","RA/OA","1940","48","420","11.43","2939.36","14412297.73","3796.35","0","(null)"
"16001","ADA, ID","13","000","RA/OA","1440","28","166","16.87","2939.36","14412297.73","3796.35","0","(null)"
"16039","ELMORE, ID","13","190","RA/OA","3410","2","9","22.22","2939.36","14412297.73","3796.35","0","(null)"
"16083","TWIN FALLS, ID","13","410","RA/OA","1250","7","48","14.58","2939.36","14412297.73","3796.35","0","(null)"
"16087","WASHINGTON, ID","13","430","RA/OA","5740","2","9","22.22","2939.36","14412297.73","3796.35","0","(null)"
"17031","COOK, IL","14","141","RA/OA","6758.44","349","1689","20.66","2939.36","14412297.73","3796.35","22.73","high"
"17037","DE KALB, IL","14","170","RA/OA","2100","7","28","25","2939.36","14412297.73","3796.35","0","(null)"
"17043","DU PAGE, IL","14","250","RA/OA","1666.67","68","294","23.13","2939.36","14412297.73","3796.35","0","(null)"
"17057","FULTON, IL","14","370","RA/OA","12108","6","20","30","2939.36","14412297.73","3796.35","5372.29","high"
"17109","MC DONOUGH, IL","14","630","RA/OA","2880","2","18","11.11","2939.36","14412297.73","3796.35","0","(null)"
"17111","MC HENRY, IL","14","640","RA/OA","5410","19","97","19.59","2939.36","14412297.73","3796.35","0","(null)"
"17119","MADISON, IL","14","680","RA/OA","1470","22","123","17.89","2939.36","14412297.73","3796.35","0","(null)"
"17125","MASON, IL","14","710","RA/OA","3450","2","6","33.33","2939.36","14412297.73","3796.35","0","(null)"
"17137","MORGAN, IL","14","770","RA/OA","3080","4","18","22.22","2939.36","14412297.73","3796.35","0","(null)"
"17147","PIATT, IL","14","820","RA/OA","2290","3","12","25","2939.36","14412297.73","3796.35","0","(null)"
"17179","TAZEWELL, IL","14","980","RA/OA","15338","9","53","16.98","2939.36","14412297.73","3796.35","8602.29","high"
"17183","VERMILION, IL","14","982","RA/OA","2440","12","37","32.43","2939.36","14412297.73","3796.35","0","(null)"
"17195","WHITESIDE, IL","14","988","RA/OA","1170","5","38","13.16","2939.36","14412297.73","3796.35","0","(null)"
"17197","WILL, IL","14","989","RA/OA","4706","26","138","18.84","2939.36","14412297.73","3796.35","0","(null)"
"17199","WILLIAMSON, IL","14","990","RA/OA","3690","7","35","20","2939.36","14412297.73","3796.35","0","(null)"
"17201","WINNEBAGO, IL","14","991","RA/OA","2940","21","127","16.54","2939.36","14412297.73","3796.35","0","(null)"
"18003","ALLEN, IN","15","010","RA/OA","1630","28","125","22.4","2939.36","14412297.73","3796.35","0","(null)"
"18043","FLOYD, IN","15","210","RA/OA","1710","5","28","17.86","2939.36","14412297.73","3796.35","0","(null)"
"18047","FRANKLIN, IN","15","230","RA/OA","490","2","7","28.57","2939.36","14412297.73","3796.35","0","(null)"
"18053","GRANT, IN","15","260","RA/OA","1080","7","36","19.44","2939.36","14412297.73","3796.35","0","(null)"
"18073","JASPER, IN","15","360","RA/OA","2860","5","13","38.46","2939.36","14412297.73","3796.35","0","(null)"
"18089","LAKE, IN","15","440","RA/OA","2130","36","187","19.25","2939.36","14412297.73","3796.35","0","(null)"
"18093","LAWRENCE, IN","15","460","RA/OA","1360","7","23","30.43","2939.36","14412297.73","3796.35","0","(null)"
"18097","MARION, IN","15","480","RA/OA","1800","57","285","20","2939.36","14412297.73","3796.35","0","(null)"
"18105","MONROE, IN","15","520","RA/OA","3010","8","38","21.05","2939.36","14412297.73","3796.35","0","(null)"
"18121","PARKE, IN","15","600","RA/OA","1880","5","10","50","2939.36","14412297.73","3796.35","0","(null)"
"18135","RANDOLPH, IN","15","670","RA/OA","2780","2","11","18.18","2939.36","14412297.73","3796.35","0","(null)"
"18147","SPENCER, IN","15","730","RA/OA","650","5","12","41.67","2939.36","14412297.73","3796.35","0","(null)"
"18163","VANDERBURGH, IN","15","810","RA/OA","3710","17","74","22.97","2939.36","14412297.73","3796.35","0","(null)"
"18183","WHITLEY, IN","15","910","RA/OA","4470","5","15","33.33","2939.36","14412297.73","3796.35","0","(null)"
"19013","BLACK HAWK, IA","16","060","RA/OA","660","14","59","23.73","2939.36","14412297.73","3796.35","0","(null)"
"19061","DUBUQUE, IA","16","300","RA/OA","2050","10","55","18.18","2939.36","14412297.73","3796.35","0","(null)"
"19113","LINN, IA","16","560","RA/OA","700","13","73","17.81","2939.36","14412297.73","3796.35","0","(null)"
"19181","WARREN, IA","16","900","RA/OA","2830","4","14","28.57","2939.36","14412297.73","3796.35","0","(null)"
"20001","ALLEN, KS","17","000","RA/OA","1800","2","6","33.33","2939.36","14412297.73","3796.35","0","(null)"
"20015","BUTLER, KS","17","070","RA/OA","1630","8","30","26.67","2939.36","14412297.73","3796.35","0","(null)"
"20035","COWLEY, KS","17","170","RA/OA","1470","2","17","11.76","2939.36","14412297.73","3796.35","0","(null)"
"20091","JOHNSON, KS","17","450","RA/OA","2020","30","151","19.87","2939.36","14412297.73","3796.35","0","(null)"
"20115","MARION, KS","17","570","RA/OA","7058","5","9","55.56","2939.36","14412297.73","3796.35","322.29","high"
"20163","ROOKS, KS","17","810","RA/OA","2410","1","1","100","2939.36","14412297.73","3796.35","0","(null)"
