id,cnty_name,state_cd,cnty_cd,chronic_disease,avg_cost,population,cnty_pop,percent_pop,us_avg,cost_variance,std_dev,dif_from_dev,cost_flag
1019,"CHEROKEE, AL",1,90,Alzheimer,2850,4,15,26.67,1724.195349,6818053.545,2611.140277,0,
48167,"GALVESTON, TX",45,550,Alzheimer,1180,25,100,25,1724.195349,6818053.545,2611.140277,0,
1047,"DALLAS, AL",1,230,Alzheimer,190,12,41,29.27,1724.195349,6818053.545,2611.140277,0,
40109,"OKLAHOMA, OK",37,540,Alzheimer,50,85,348,24.43,1724.195349,6818053.545,2611.140277,0,
1073,"JEFFERSON, AL",1,360,Alzheimer,2402.25,75,385,19.48,1724.195349,6818053.545,2611.140277,0,
39049,"FRANKLIN, OH",36,250,Alzheimer,4169,84,310,27.1,1724.195349,6818053.545,2611.140277,0,
5009,"BOONE, AR",4,40,Alzheimer,10,6,35,17.14,1724.195349,6818053.545,2611.140277,0,
36047,"KINGS, NY",33,331,Alzheimer,2238.571429,184,699,26.32,1724.195349,6818053.545,2611.140277,0,
6055,"NAPA, CA",5,380,Alzheimer,490,10,57,17.54,1724.195349,6818053.545,2611.140277,0,
42089,"MONROE, PA",39,550,Alzheimer,2400,11,51,21.57,1724.195349,6818053.545,2611.140277,0,
6057,"NEVADA, CA",5,390,Alzheimer,170,9,44,20.45,1724.195349,6818053.545,2611.140277,0,
36063,"NIAGARA, NY",33,500,Alzheimer,860,30,93,32.26,1724.195349,6818053.545,2611.140277,0,
12071,"LEE, FL",10,350,Alzheimer,1426.666667,71,280,25.36,1724.195349,6818053.545,2611.140277,0,
42043,"DAUPHIN, PA",39,280,Alzheimer,260,19,100,19,1724.195349,6818053.545,2611.140277,0,
19123,"MAHASKA, IA",16,610,Alzheimer,620,5,13,38.46,1724.195349,6818053.545,2611.140277,0,
48221,"HOOD, TX",45,653,Alzheimer,3720,6,22,27.27,1724.195349,6818053.545,2611.140277,0,
19127,"MARSHALL, IA",16,630,Alzheimer,930,3,13,23.08,1724.195349,6818053.545,2611.140277,0,
48085,"COLLIN, TX",45,310,Alzheimer,830,37,127,29.13,1724.195349,6818053.545,2611.140277,0,
19129,"MILLS, IA",16,640,Alzheimer,4400,2,5,40,1724.195349,6818053.545,2611.140277,64.664374,high
45019,"CHARLESTON, SC",42,90,Alzheimer,1615,47,141,33.33,1724.195349,6818053.545,2611.140277,0,
19153,"POLK, IA",16,760,Alzheimer,3500,39,140,27.86,1724.195349,6818053.545,2611.140277,0,
42045,"DELAWARE, PA",39,290,Alzheimer,1550,48,197,24.37,1724.195349,6818053.545,2611.140277,0,
12073,"LEON, FL",10,360,Alzheimer,630,15,53,28.3,1724.195349,6818053.545,2611.140277,0,
41033,"JOSEPHINE, OR",38,160,Alzheimer,280,14,63,22.22,1724.195349,6818053.545,2611.140277,0,
19157,"POWESHIEK, IA",16,780,Alzheimer,990,4,14,28.57,1724.195349,6818053.545,2611.140277,0,
48245,"JEFFERSON, TX",45,700,Alzheimer,690,22,90,24.44,1724.195349,6818053.545,2611.140277,0,
19163,"SCOTT, IA",16,810,Alzheimer,1040,16,63,25.4,1724.195349,6818053.545,2611.140277,0,
39093,"LORAIN, OH",36,480,Alzheimer,870,36,124,29.03,1724.195349,6818053.545,2611.140277,0,
6059,"ORANGE, CA",5,400,Alzheimer,2557.666667,153,720,21.25,1724.195349,6818053.545,2611.140277,0,
42051,"FAYETTE, PA",39,330,Alzheimer,110,10,81,12.35,1724.195349,6818053.545,2611.140277,0,
12087,"MONROE, FL",10,430,Alzheimer,380,6,23,26.09,1724.195349,6818053.545,2611.140277,0,
36043,"HERKIMER, NY",33,320,Alzheimer,130,15,31,48.39,1724.195349,6818053.545,2611.140277,0,
19193,"WOODBURY, IA",16,960,Alzheimer,1130,7,37,18.92,1724.195349,6818053.545,2611.140277,0,
38101,"WARD, ND",35,500,Alzheimer,2080,4,33,12.12,1724.195349,6818053.545,2611.140277,0,
12095,"ORANGE, FL",10,470,Alzheimer,664,84,293,28.67,1724.195349,6818053.545,2611.140277,0,
36045,"JEFFERSON, NY",33,330,Alzheimer,620,7,36,19.44,1724.195349,6818053.545,2611.140277,0,
5033,"CRAWFORD, AR",4,160,Alzheimer,1820,7,44,15.91,1724.195349,6818053.545,2611.140277,0,
39025,"CLERMONT, OH",36,120,Alzheimer,930,11,41,26.83,1724.195349,6818053.545,2611.140277,0,
6065,"RIVERSIDE, CA",5,430,Alzheimer,1767.5,131,553,23.69,1724.195349,6818053.545,2611.140277,0,
47093,"KNOX, TN",44,460,Alzheimer,170,34,199,17.09,1724.195349,6818053.545,2611.140277,0,
12099,"PALM BEACH, FL",10,490,Alzheimer,1311.428571,150,642,23.36,1724.195349,6818053.545,2611.140277,0,
39023,"CLARK, OH",36,110,Alzheimer,1160,12,62,19.35,1724.195349,6818053.545,2611.140277,0,
20091,"JOHNSON, KS",17,450,Alzheimer,320,41,151,27.15,1724.195349,6818053.545,2611.140277,0,
48113,"DALLAS, TX",45,390,Alzheimer,1182.5,160,583,27.44,1724.195349,6818053.545,2611.140277,0,
20125,"MONTGOMERY, KS",17,620,Alzheimer,440,5,19,26.32,1724.195349,6818053.545,2611.140277,0,
36061,"NEW YORK, NY",33,420,Alzheimer,1160,133,524,25.38,1724.195349,6818053.545,2611.140277,0,
6067,"SACRAMENTO, CA",5,440,Alzheimer,186.666667,84,396,21.21,1724.195349,6818053.545,2611.140277,0,
48183,"GREGG, TX",45,570,Alzheimer,1850,19,50,38,1724.195349,6818053.545,2611.140277,0,
12101,"PASCO, FL",10,500,Alzheimer,820,64,257,24.9,1724.195349,6818053.545,2611.140277,0,
47141,"PUTNAM, TN",44,700,Alzheimer,170,10,42,23.81,1724.195349,6818053.545,2611.140277,0,
20131,"NEMAHA, KS",17,650,Alzheimer,100,2,4,50,1724.195349,6818053.545,2611.140277,0,
39035,"CUYAHOGA, OH",36,170,Alzheimer,65,118,492,23.98,1724.195349,6818053.545,2611.140277,0,
12103,"PINELLAS, FL",10,510,Alzheimer,957.142857,118,461,25.6,1724.195349,6818053.545,2611.140277,0,
42063,"INDIANA, PA",39,390,Alzheimer,1385,16,52,30.77,1724.195349,6818053.545,2611.140277,0,
20173,"SEDGWICK, KS",17,860,Alzheimer,1593.333333,49,180,27.22,1724.195349,6818053.545,2611.140277,0,
37109,"LINCOLN, NC",34,540,Alzheimer,1230,11,35,31.43,1724.195349,6818053.545,2611.140277,0,
6071,"SAN BERNARDINO, CA",5,460,Alzheimer,1080,92,423,21.75,1724.195349,6818053.545,2611.140277,0,
51059,"FAIRFAX, VA",49,290,Alzheimer,1455,60,209,28.71,1724.195349,6818053.545,2611.140277,0,
12105,"POLK, FL",10,520,Alzheimer,2982.666667,72,261,27.59,1724.195349,6818053.545,2611.140277,0,
37129,"NEW HANOVER, NC",34,640,Alzheimer,200,25,91,27.47,1724.195349,6818053.545,2611.140277,0,
12109,"ST. JOHNS, FL",10,540,Alzheimer,370,19,77,24.68,1724.195349,6818053.545,2611.140277,0,
48201,"HARRIS, TX",45,610,Alzheimer,1176.25,233,917,25.41,1724.195349,6818053.545,2611.140277,0,
6073,"SAN DIEGO, CA",5,470,Alzheimer,1198,171,857,19.95,1724.195349,6818053.545,2611.140277,0,
48135,"ECTOR, TX",45,451,Alzheimer,2400,8,32,25,1724.195349,6818053.545,2611.140277,0,
12111,"ST. LUCIE, FL",10,550,Alzheimer,490,26,126,20.63,1724.195349,6818053.545,2611.140277,0,
48149,"FAYETTE, TX",45,511,Alzheimer,340,6,18,33.33,1724.195349,6818053.545,2611.140277,0,
21009,"BARREN, KY",18,40,Alzheimer,5000,6,30,20,1724.195349,6818053.545,2611.140277,664.664374,high
48161,"FREESTONE, TX",45,540,Alzheimer,1000,2,9,22.22,1724.195349,6818053.545,2611.140277,0,
