state,county,Total
CA,LOS ANGELES,30781258
CA,SAN DIEGO,9265638
CA,ORANGE,8925452
CA,RIVERSIDE,7087240
CA,SANTA CLARA,5749172
CA,SACRAMENTO,4775148
CA,ALAMEDA,4484230
CA,SAN BERNARDINO,4442810
CA,CONTRA COSTA,4139676
CA,VENTURA,3099292
CA,SAN FRANCISCO,2890478
CA,SAN MATEO,2727224
CA,FRESNO,2705734
CA,KERN,2361224
CA,SONOMA,1725636
CA,SAN JOAQUIN,1588130
CA,STANISLAUS,1510240
CA,PLACER,1506428
CA,SOLANO,1404986
CA,TULARE,1397296
CA,SANTA BARBARA,1344972
CA,BUTTE,1339530
CA,MONTEREY,1117934
CA,SHASTA,1023314
CA,EL DORADO,1010400
CA,MARIN,971748
CA,SAN LUIS OBISPO,949772
CA,SANTA CRUZ,825982
CA,IMPERIAL,804064
CA,HUMBOLDT,803978
CA,MERCED,534208
CA,MENDOCINO,502222
CA,YOLO,500514
CA,MADERA,481642
CA,NEVADA,455466
CA,LAKE,444390
CA,SISKIYOU,435272
CA,KINGS,416088
CA,NAPA,397158
CA,AMADOR,341330
CA,YUBA,267818
CA,TUOLUMNE,258166
CA,TEHAMA,250466
CA,SUTTER,243460
CA,TRINITY,164146
CA,CALAVERAS,157458
CA,SAN BENITO,107352
CA,LASSEN,104570
CA,GLENN,80186
CA,DEL NORTE,80142
CA,COLUSA,67748
CA,PLUMAS,56798
CA,MODOC,47200
CA,MARIPOSA,18680
CA,INYO,10500
CA,SIERRA,8500
CA,MONO,0
FL,MIAMI-DADE,12645780
FL,PALM BEACH,9663798
FL,BROWARD,8715672
FL,PINELLAS,6128050
FL,HILLSBOROUGH,5062026
FL,BREVARD,4539696
FL,LEE,4445536
FL,VOLUSIA,4176984
FL,ORANGE,4054472
FL,POLK,3761014
FL,SARASOTA,3665628
FL,PASCO,3641492
FL,LAKE,3503032
FL,DUVAL,3353088
FL,MARION,2747036
FL,COLLIER,2488602
FL,SEMINOLE,1989948
FL,ST. LUCIE,1936972
FL,HERNANDO,1924416
FL,MANATEE,1683876
FL,CHARLOTTE,1579296
FL,ESCAMBIA,1546424
FL,INDIAN RIVER,1404726
FL,CITRUS,1266664
FL,OSCEOLA,1214132
FL,BAY,1145800
FL,OKALOOSA,1025206
FL,HIGHLANDS,974126
FL,ALACHUA,962116
FL,ST. JOHNS,954692
FL,LEON,894908
FL,SANTA ROSA,803676
FL,CLAY,770642
FL,MARTIN,654816
FL,JACKSON,513348
FL,WALTON,511638
FL,PUTNAM,505742
FL,FLAGLER,468144
FL,LEVY,377552
FL,WAKULLA,318058
FL,SUWANNEE,306432
FL,COLUMBIA,303922
FL,SUMTER,297792
FL,MONROE,282352
FL,NASSAU,260256
FL,HENDRY,197280
FL,DE SOTO,186830
FL,GADSDEN,162106
FL,HAMILTON,156174
FL,GLADES,156168
FL,TAYLOR,128850
FL,LIBERTY,127392
FL,MADISON,100926
FL,HOLMES,100348
FL,WASHINGTON,91390
FL,GILCHRIST,86800
FL,BAKER,82354
FL,GULF,60700
FL,BRADFORD,58268
FL,CALHOUN,54150
FL,HARDEE,48868
FL,DIXIE,44518
FL,UNION,41742
FL,FRANKLIN,41522
FL,OKEECHOBEE,38730
FL,JEFFERSON,28430
TX,HARRIS,13742672
TX,DALLAS,9035420
TX,BEXAR,8167010
TX,TARRANT,6873658
TX,EL PASO,3536962
TX,TRAVIS,3020404
TX,HIDALGO,2958388
TX,MONTGOMERY,2167746
TX,COLLIN,2042126
